ModesCode;LabelWeb;ActiveLanguage;DescriptionLong;Characteristics;composition;type
EQYHY03884;HALF JAM CARGO (CRE6);master;"&nbsp;";"__Fabric:__ 92% Recycled polyester 8% elastane blend fabric
__Waist:__ Fixed waist
__Closure:__ Button closure
__Pockets:__ Side pockets
Cargo pockets 
__Outseams:__ 19"" outseam, mid length";[Main Fabric] 92% Recycled Polyester, 8% Elastane;Hybrid Shorts
EQWDS03019;MOMDENIMSHORT (SEF0);master;"&nbsp;";"__Fabric:__ Cotton [410 g/m2]
__Fit:__ Carpenter fit
__Wash:__ Garment wash with soft hand-feel
Metal shank buttons
Metal zip on front opening
Belt loops on waist
Quiksilver recycled woven label on back patch pocket

";[Main Fabric] 100% Cotton;Denim Shorts
AQYHA04939;DECADES COTTON (RZM0);master;"&nbsp;";"6-panel low profile design
__Fabric:__ Washed twill fabric
Embroidery on front
Matching fabric on rear closure";100% Cotton;Dad Cap
EQYBA03192;MOJAVEpack (RQZ0);master;"&nbsp;";"__Fabric:__ Recycled Polyester [600D]
__Compartments:__ Two Compartments, Back Zipped Pocket
__Straps:__ Adjustable Webbing Strap
Front Strap Attachment
__Size:__ 15.5[H] x 29[W] x 7[D] cm
__Volume:__ 2L";[Main Fabric] 100% Recycled Polyester;Waist Pack
EQYBP03732;NEWSECRETSESH (RQZ0);master;"&nbsp;";"__Fabric:__ Recycled Polyester [600D/450D Micro Ripstop]
__Compartments/Closure:__ Main Compartment, Exterior Zip Pocket, Roll-Top Closure
Front Strap Attachments
Internal Wet/Dry Storage
External Dry Storage for Towels and Sandy Items
Water Bottle Pocket
__Size:__ 51[H] x 28[W] x 26[D] cm
__Volume:__ 37L";[Main Fabric] 100% Recycled Polyester;Surf Backpack
EQYBP03732;NEWSECRETSESH (CRE0);master;"&nbsp;";"__Fabric:__ Recycled Polyester [600D/450D Micro Ripstop]
__Compartments/Closure:__ Main Compartment, Exterior Zip Pocket, Roll-Top Closure
Front Strap Attachments
Internal Wet/Dry Storage
External Dry Storage for Towels and Sandy Items
Water Bottle Pocket
__Size:__ 51[H] x 28[W] x 26[D] cm
__Volume:__ 37L";[Main Fabric] 100% Recycled Polyester;Surf Backpack
EQYHA03471;AMPHIBIAN BUCKE (CRE0);master;"&nbsp;";"__Fit:__ Standard with brim
__Fabric:__ Corduroy Fabric
Embroidered logo on centre front";[Main Fabric] 100% Polyester;Bucket Hat
EQWFT03191;ESSENTIALHOODIE (KTP0);master;"&nbsp;";"__Fabric:__ Organic Cotton, 300 g/m2
__Fit:__ Standard Fit
__Neck:__ Hood Neck
__Wash:__ Pigment Garment Dye with Softener Wash for Vintage Look
Brushed Fleece
Tonal Embroidered Logo at Chest
Rib 2x2 at Collar
Cuffs
And Bottom
Self-Fabric Hood Lining
Tonal Drawcord
Pouch Pocket";[Main Fabric] 100% Organic Cotton;Hoodie
EQWFT03212;LIFFORD FZ (KTP0);master;"&nbsp;";"__Fabric:__ Cotton polyester blend [250 g/m2]
__Fit:__ Dropped shoulder fit
Cropped length
Elasticated cuffs and bottom
Metal zip on centre front opening
Welt pockets
Quiksilver recycled label pack";[Main Fabric] 75% Cotton, 25% Polyester;Zip-Up Sweatshirt
EQYPF03065;CLEAN COAST BLO (CJZ0);master;"&nbsp;";"__Use:__ Everyday Adventure
BENEFITS
WarmFlight technology for heat retention with high breathability
MADE BETTER
Made with 1recycled polyester fibres from textile Waste and plastic bottles
__Fabric:__ 1 face brushed fleece
Jiaren Recycled Polyester, recycled polyester, 230g/m2
FEATURES
__Fit:__ regular fit
__Pockets:__ Kangaroo pocket
__Other:__ Stretch Binding at cuff and elastic draw cord at hem with contrast colour blocking at sleeves and shoulder";[Main Fabric] 100% Recycled Polyester;Full Zip Fleece
EQBPF03024;ICE FIELDS FZ Y (KTP0);master;"&nbsp;";"__Fabric:__ Recycled polyester [190 g/m2]
__Fit:__ Comfort fit, slightly wider for more comfort
__Pockets:__ Front side pockets and patched chest pocket
Quiksilver art on chest pocket
Quiksilver label pack";[Main Fabric] 100% Recycled Polyester;Zip-Up Fleece
EQBPF03024;ICE FIELDS FZ Y (CJZ0);master;"&nbsp;";"__Fabric:__ Recycled polyester [190 g/m2]
__Fit:__ Comfort fit, slightly wider for more comfort
__Pockets:__ Front side pockets and patched chest pocket
Quiksilver art on chest pocket
Quiksilver label pack";[Main Fabric] 100% Recycled Polyester;Zip-Up Fleece
EQYPF03067;CLEAN COAST (WEG0);master;"&nbsp;";"__Use:__ Everyday Adventure
BENEFITS
WarmFlight technology for heat retention with high breathability
MADE BETTER
Made with 1recycled polyester fibres from textile Waste and plastic bottles
__Fabric:__ 1 face brushed fleece
Jiaren Recycled Polyester, recycled polyester, 230g/m2
FEATURES
__Fit:__ Regular fit
__Pockets:__ Kangaroo Hand pockets
One zippered chest pocket
__Other:__ Stretch Binding at arm hole and hem";[Main Fabric] 100% Recycled Polyester;Gilet Full Zip Fleece
EQWFT03190;ESSENTIALCREW (MKT0);master;"&nbsp;";"__Fabric:__ Organic Cotton, 300 g/m2
__Fit:__ Standard Fit
__Neck:__ Crew Neck
__Wash:__ Pigment Garment Dye with Softener Wash for Vintage Look
Brushed Fleece
Tonal Embroidered Logo at Chest
Rib 2x2 at Collar
Cuffs
And Bottom
Woven Flag Label at Left Side";[Main Fabric] 100% Organic Cotton;Crew Neck
EQWFT03190;ESSENTIALCREW (TKS0);master;"&nbsp;";"__Fabric:__ Organic Cotton, 300 g/m2
__Fit:__ Standard Fit
__Neck:__ Crew Neck
__Wash:__ Pigment Garment Dye with Softener Wash for Vintage Look
Brushed Fleece
Tonal Embroidered Logo at Chest
Rib 2x2 at Collar
Cuffs
And Bottom
Woven Flag Label at Left Side";[Main Fabric] 100% Organic Cotton;Crew Neck
EQWFT03190;ESSENTIALCREW (KVJ0);master;"&nbsp;";"__Fabric:__ Organic Cotton, 300 g/m2
__Fit:__ Standard Fit
__Neck:__ Crew Neck
__Wash:__ Pigment Garment Dye with Softener Wash for Vintage Look
Brushed Fleece
Tonal Embroidered Logo at Chest
Rib 2x2 at Collar
Cuffs
And Bottom
Woven Flag Label at Left Side";[Main Fabric] 100% Organic Cotton;Crew Neck
